-1.00,11.71,15.23,17.23,10.15,6.82,6.86,9.67,13.25,13.66,10.45,5.61,2.35,1.90,2.23,2.41,2.20,2.37,2.53,2.16,1.80,2.15,2.96,3.88,3.99,4.24,1.67,2.34,4.32,4.77,3.47,5.16,4.32,4.57,6.66,4.99,4.80
-1.00,10.56,11.33,11.68,8.69,6.45,7.06,11.07,13.96,13.50,12.09,5.95,2.07,1.73,2.00,2.52,2.32,2.02,2.92,2.23,2.71,3.45,3.53,3.83,3.61,2.70,2.70,2.42,2.62,3.24,5.09,4.70,4.18,4.74,5.98,6.95,7.61
-1.00,11.73,13.17,13.49,8.36,6.70,8.27,10.83,13.01,13.46,11.41,3.47,1.85,1.70,1.92,2.78,4.44,3.94,4.30,3.02,2.61,2.73,2.83,3.73,5.07,2.32,1.96,2.33,2.53,2.97,3.79,3.82,3.81,4.94,4.42,6.05,7.40
-1.00,12.57,13.17,11.83,7.72,6.39,9.54,14.89,13.82,13.40,13.90,6.38,1.65,1.47,1.76,2.33,2.79,2.49,2.23,2.80,2.87,3.18,3.13,5.16,4.96,3.40,2.05,2.14,2.13,2.34,2.44,3.17,4.55,4.62,4.74,5.37,6.40
-1.00,11.70,13.46,11.24,8.44,6.64,7.03,9.29,13.96,12.24,9.68,5.74,3.10,2.27,1.80,1.61,1.96,2.56,2.48,3.55,3.33,3.07,3.45,2.89,2.92,2.54,2.25,1.89,2.18,2.19,2.13,2.62,3.44,4.50,4.78,5.75,4.73
11.56,11.37,14.33,9.24,7.63,7.62,8.75,10.02,9.10,10.32,6.39,3.14,3.66,2.72,1.93,1.77,1.79,1.84,2.02,1.62,2.08,2.26,2.38,2.27,2.32,1.95,2.14,2.36,2.20,2.02,1.93,2.19,2.53,3.29,3.77,4.05,6.08
10.86,11.21,13.21,8.78,6.17,8.27,11.69,8.29,9.98,10.48,5.84,4.16,3.25,1.79,1.74,1.64,1.73,1.76,1.82,2.09,1.63,1.74,2.95,2.06,2.10,2.03,2.21,2.24,1.91,2.32,2.38,1.78,2.20,2.64,2.81,3.45,4.12
10.36,10.06,11.62,8.29,5.09,7.30,10.21,8.57,9.27,8.78,5.37,4.29,3.59,2.14,1.53,1.92,1.65,1.73,1.77,1.82,1.74,1.59,1.81,1.67,1.81,2.10,2.00,2.10,2.34,2.79,3.64,2.67,1.81,2.11,2.18,2.15,3.02
15.34,11.72,10.16,6.53,6.32,6.39,7.06,8.87,9.15,9.55,5.22,3.72,4.94,3.62,3.75,1.93,2.21,1.70,1.72,1.84,1.87,1.71,1.97,3.19,2.95,2.45,1.68,1.86,2.18,2.40,3.19,3.96,2.24,1.68,1.60,1.88,2.16
19.98,21.18,14.33,6.93,5.17,7.10,6.56,7.19,7.30,7.79,3.49,3.56,3.67,3.20,5.51,3.20,1.90,2.29,2.20,1.83,1.89,1.85,2.51,5.61,1.95,1.64,1.53,1.68,1.83,2.14,4.29,3.52,3.71,2.95,1.96,1.92,2.35
17.35,20.41,16.88,8.71,6.40,5.28,3.79,5.09,7.02,7.09,3.53,3.94,2.54,2.51,3.23,3.27,2.72,3.37,2.40,2.20,1.90,1.67,2.00,2.22,1.54,1.69,1.82,1.92,1.91,1.75,2.54,2.00,2.47,2.46,2.03,1.88,2.10
16.84,18.26,24.50,11.47,10.24,4.97,5.40,4.84,4.94,4.50,2.92,2.42,2.17,2.50,3.51,2.68,2.15,3.48,2.58,2.03,1.97,1.97,1.86,2.42,2.64,3.58,2.76,3.01,3.01,2.14,1.82,1.75,1.90,2.02,1.98,2.00,2.30
17.37,16.09,20.35,18.05,10.66,7.43,5.94,3.71,3.59,4.15,2.31,2.13,2.01,2.18,3.01,3.18,2.73,4.82,2.85,2.13,2.41,2.21,2.01,2.41,3.78,4.79,2.44,1.98,3.57,2.48,2.22,2.16,2.35,2.73,3.63,2.14,3.07
-1.00,16.76,22.20,23.86,13.51,10.30,4.36,3.74,3.50,4.23,4.56,7.22,3.58,2.78,2.99,2.85,3.89,3.32,2.78,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
-1.00,15.09,21.10,21.75,15.41,10.57,6.66,9.39,7.97,12.11,11.81,8.52,5.31,3.83,3.71,2.91,3.44,4.06,2.85,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
-1.00,14.99,21.32,14.88,15.29,10.90,15.24,15.21,16.87,16.75,19.01,8.92,4.98,4.33,4.10,3.96,3.46,5.16,3.53,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
-1.00,9.44,14.78,16.76,11.31,11.63,14.50,13.04,18.13,18.94,19.41,9.18,4.52,4.29,3.74,2.93,2.73,2.65,3.47,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
10.62,10.15,15.09,18.70,10.62,9.80,9.97,15.10,14.07,11.69,13.34,12.42,7.37,5.75,3.84,3.52,2.61,2.38,2.65,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
13.40,16.76,12.61,16.11,14.18,12.87,10.79,9.55,8.77,8.41,10.05,14.19,15.24,9.98,6.51,3.80,2.58,2.25,2.93,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
15.76,19.64,15.21,14.65,14.73,16.95,12.49,8.08,7.43,6.72,10.42,14.63,14.15,7.85,7.29,5.40,3.65,2.27,2.40,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
-1.00,14.66,15.02,17.43,14.59,13.44,12.09,7.57,5.98,6.64,8.91,16.99,16.32,14.61,11.27,7.80,4.72,3.38,3.55,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
-1.00,-1.00,11.88,15.75,15.67,13.53,13.43,7.07,5.96,7.19,8.36,10.80,13.68,18.54,17.23,15.13,6.34,4.74,3.66,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
-1.00,-1.00,11.44,12.19,13.59,13.59,13.91,8.83,5.90,6.86,7.51,8.05,10.00,13.02,16.78,17.51,10.46,3.97,4.71,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
-1.00,-1.00,11.04,11.93,12.49,10.94,10.15,9.40,6.57,6.27,6.88,7.62,6.67,10.50,15.27,15.84,12.78,6.59,4.16,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
-1.00,-1.00,-1.00,12.34,14.37,13.28,11.45,10.54,9.00,6.71,6.61,7.14,7.04,9.57,12.40,13.73,11.74,8.78,5.54,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
-1.00,-1.00,-1.00,11.53,11.72,15.35,12.92,12.85,10.68,8.77,6.90,6.86,7.82,8.20,10.79,12.71,12.90,10.95,9.99,6.68,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
-1.00,-1.00,-1.00,-1.00,11.05,12.49,11.92,10.67,10.46,9.60,7.23,6.95,7.72,7.26,7.89,11.43,13.74,13.03,13.09,10.74,4.46,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
-1.00,-1.00,-1.00,-1.00,-1.00,11.26,10.67,11.32,8.32,7.05,6.27,5.98,6.64,6.27,5.86,9.16,12.86,12.86,12.87,13.25,10.50,4.81,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
