0.0812,0.3697,0.3606,0.0532,0.3025,0.2980,0.1118
0.0522,0.0039,0.0435,0.0261,0.0437,0.0315,0.0414
0.0135,0.0074,0.0121,0.0532,0.0163,0.0388,0.0618
0.0301,0.0105,0.0104,0.0111,0.0462,0.1494,0.1465
0.1078,0.0498,0.3023,0.1820,0.2830,0.3766,0.5334
0.1759,0.5716,0.6818,0.5717,0.7497,0.6034,0.3154
0.4178,0.8255,0.9558,0.8865,-1.0000,-1.0000,-1.0000
0.5615,0.9830,0.9765,0.9698,-1.0000,-1.0000,-1.0000
-1.0000,0.9803,0.9031,0.9018,0.4987,-1.0000,-1.0000
-1.0000,0.5191,0.8722,0.5165,0.3831,-1.0000,-1.0000
-1.0000,-1.0000,0.5309,0.1431,0.1291,0.0919,0.0462
-1.0000,-1.0000,-1.0000,-1.0000,0.0812,0.1515,0.0683
