-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
-1.00,-1.00,-1.00,-1.00,-1.00,5.00,-1.00,5.54,6.75,6.21,7.91,8.01,8.52,5.87,4.21,3.55,3.87,3.40,2.19,1.47,2.17,1.90,1.96,2.74,2.62,2.89,3.28,3.22,3.31,5.28,6.05,4.03,3.39,3.40,3.06,3.20,4.08
-1.00,-1.00,-1.00,-1.00,-1.00,4.63,3.99,4.33,4.93,7.92,9.74,9.74,10.06,6.79,4.36,4.35,3.82,2.91,2.38,1.53,1.69,1.87,1.77,2.04,2.55,2.48,2.73,2.82,3.63,5.18,5.20,5.71,2.67,3.47,3.73,3.09,4.94
-1.00,-1.00,-1.00,-1.00,-1.00,3.37,3.19,3.44,5.05,9.08,13.55,11.98,10.79,8.63,5.12,4.64,2.87,2.21,3.53,1.82,1.38,1.63,1.91,2.21,2.84,2.34,2.63,3.08,3.47,4.62,3.30,5.39,2.79,3.07,3.63,3.89,3.54
9.81,8.82,-1.00,-1.00,-1.00,3.26,3.02,2.89,3.12,8.04,11.72,10.53,10.15,8.47,5.61,4.86,3.17,1.98,2.43,1.51,1.51,2.05,1.68,2.23,2.90,2.33,2.44,3.12,3.49,4.21,3.67,4.31,2.96,7.02,3.41,3.73,2.08
11.44,9.26,7.00,4.94,3.26,1.88,1.89,2.42,3.12,5.06,10.44,14.15,11.89,8.70,6.65,4.57,3.70,2.56,2.45,1.61,1.49,1.46,1.78,1.69,2.44,2.30,2.77,2.84,3.07,3.49,3.93,3.38,2.95,4.38,4.47,6.30,3.25
12.73,13.94,15.79,10.75,6.32,4.62,3.61,2.81,3.51,4.18,7.06,12.91,12.72,8.96,5.31,4.39,3.92,1.82,2.12,1.75,1.69,1.83,1.72,1.76,2.18,2.21,2.40,2.51,2.52,3.90,3.51,4.14,4.76,4.63,4.69,4.03,3.68
11.79,13.28,15.11,15.56,11.65,8.72,4.84,4.11,3.72,4.37,6.12,12.06,11.58,8.80,5.67,3.83,3.62,1.49,1.90,1.65,1.58,1.37,1.69,1.85,2.09,2.17,2.30,2.44,2.26,2.61,3.25,4.14,4.55,4.40,4.20,4.17,3.30
10.74,12.09,13.62,16.07,12.72,8.89,6.19,5.04,4.19,4.49,7.47,9.41,10.08,5.62,4.85,3.44,1.97,1.01,1.66,1.35,1.21,1.53,1.63,1.96,2.20,2.36,2.42,2.74,2.59,2.64,2.92,3.50,4.72,4.89,4.72,4.57,4.45
-1.00,10.30,10.79,10.02,9.25,7.61,5.47,4.70,4.53,4.64,6.91,6.25,5.74,4.80,3.41,1.99,2.52,1.86,1.36,1.13,1.32,1.49,1.59,1.84,2.16,2.17,2.48,2.71,2.82,2.70,3.39,3.85,4.40,4.51,5.21,4.27,4.61
